동별	세대수	총계	세대당인구
종로구	72797	151999	1.95
중구	63300	130764	1.91
용산구	109954	233734	1.99
성동구	133819	288941	2.11
광진구	169338	351073	2
동대문구	170068	353181	1.98
중랑구	187513	391110	2.06
성북구	197588	442596	2.19
강북구	144577	298622	2.04
도봉구	138541	314884	2.26
노원구	217952	509686	2.32
은평구	215225	474124	2.19
서대문구	145285	317159	2.1
마포구	180085	376062	2.03
양천구	181353	445270	2.44
강서구	273691	575813	2.08
구로구	181950	416570	2.16
금천구	119587	243872	1.93
영등포구	188768	398938	1.99
동작구	186966	392628	2.05
관악구	282806	500750	1.72
서초구	168175	409025	2.41
강남구	233687	534988	2.27
송파구	285175	665847	2.32
강동구	202325	464490	2.28
