변환	컬럼1	컬럼2
Jan-16	93.4	94.4
Feb-16	92.1	94.1
Mar-16	93.8	94
Apr-16	96.6	94.1
May-16	94.8	94.4
Jun-16	94.4	94.9
Jul-16	95.7	95.3
Aug-16	97.7	95.8
Sep-16	97.2	96.1
Oct-16	95.9	96.4
Nov-16	95.4	96.6
Dec-16	93.9	96.9
Jan-17	95.8	97.2
Feb-17	97.7	97.6
Mar-17	100	98.1
Apr-17	99.6	98.6
May-17	100.6	99.1
Jun-17	99.8	99.5
Jul-17	99.1	100
Aug-17	100.1	100.4
Sep-17	98.9	100.7
Oct-17	102	100.9
Nov-17	102	101
Dec-17	101.7	100.8
Jan-18	99.4	100.5
Feb-18	101	100
Mar-18	97.8	99.5
Apr-18	99.6	99.1
May-18	101.8	98.7
Jun-18	100.2	98.2
Jul-18	95.4	97.7
Aug-18	96.5	97.2
Sep-18	99	96.7
Oct-18	95	96.2
Nov-18	94	95.7
Dec-18	94.3	95.4
Jan-19	91.9	95.2
Feb-19	97.1	95
Mar-19	96.3	94.9
Apr-19	97.3	94.8
May-19	93.9	94.7
Jun-19	94.6	94.5
Jul-19	91.7	94.3
Aug-19	91	94
Sep-19	93.7	93.3
Oct-19	93	92.3
Nov-19	93.9	90.6
Dec-19	94.7	88.2
Jan-20	97.2	85.1
Feb-20	89.6	81.4
Mar-20	68.6	77.7
Apr-20	61.4	75
May-20	63.4	73.7
Jun-20	68.1	73.9
Jul-20	76.8	75.4
Aug-20	82.9	77.7
Sep-20	77.1	80.6
Oct-20	88.4	83.8
Nov-20	91.4	87
Dec-20	85.3	90.2
Jan-21	92.6	93.3
Feb-21	96.2	96.3
Mar-21	101.2	99
Apr-21	105.3	101.4
May-21	105.4	103.4
Jun-21	109.4	104.8
Jul-21	103.8	105.8
Aug-21	105.3	106.3
Sep-21	104.5	106.6
Oct-21	105.6	106.7
Nov-21	106.3	106.6
Dec-21	104.5	106.3
Jan-22	105.7	105.9
Feb-22	105.8	105.2
Mar-22	103.5	104.5
Apr-22	105.8	103.7
May-22	106.8	102.7
Jun-22	102.6	101.6
Jul-22	97.8	100.3
Aug-22	99.3	98.9
Sep-22	98	97.4
Oct-22	95.4	95.9
Nov-22	91.2	94.5
Dec-22	91.5	93.1
Jan-23	90.1	91.8
Feb-23	91.6	90.6
