Time,미국기준금리(월)
2018/01,1.5
2018/02,1.5
2018/03,1.58
2018/04,1.75
2018/05,1.75
2018/06,1.89
2018/07,2.0
2018/08,2.0
2018/09,2.03
2018/10,2.25
2018/11,2.25
2018/12,2.35
2019/01,2.5
2019/02,2.5
2019/03,2.5
2019/04,2.5
2019/05,2.5
2019/06,2.5
2019/07,2.5
2019/08,2.25
2019/09,2.15
2019/10,1.99
2019/11,1.75
2019/12,1.75
2020/01,1.75
2020/02,1.75
2020/03,0.78
2020/04,0.25
2020/05,0.25
2020/06,0.25
2020/07,0.25
2020/08,0.25
2020/09,0.25
2020/10,0.25
2020/11,0.25
2020/12,0.25
2021/01,0.25
2021/02,0.25
2021/03,0.25
2021/04,0.25
2021/05,0.25
2021/06,0.25
2021/07,0.25
2021/08,0.25
2021/09,0.25
2021/10,0.25
2021/11,0.25
2021/12,0.25
2022/01,0.25
2022/02,0.25
2022/03,0.37
2022/04,0.5
2022/05,0.94
2022/06,1.38
2022/07,1.85
2022/08,2.5
2022/09,2.72
2022/10,3.25
2022/11,3.95
2022/12,4.27
2023/01,4.5
