Time,원/달러 환율
2018/01,1066.54
2018/02,1080.7
2018/03,1071.21
2018/04,1068.05
2018/05,1077.04
2018/06,1095.96
2018/07,1123.05
2018/08,1120.96
2018/09,1120.19
2018/10,1132.78
2018/11,1127.55
2018/12,1122.65
2019/01,1121.72
2019/02,1123.66
2019/03,1131.88
2019/04,1142.79
2019/05,1184.93
2019/06,1173.58
2019/07,1177.09
2019/08,1210.66
2019/09,1196.79
2019/10,1182.29
2019/11,1168.43
2019/12,1176.01
2020/01,1166.68
2020/02,1195.16
2020/03,1220.23
2020/04,1224.42
2020/05,1230.06
2020/06,1207.83
2020/07,1198.86
2020/08,1186.25
2020/09,1177.65
2020/10,1141.93
2020/11,1115.2
2020/12,1094.5
2021/01,1099.03
2021/02,1112.31
2021/03,1131.06
2021/04,1118.32
2021/05,1123.39
2021/06,1121.99
2021/07,1145.14
2021/08,1161.1
2021/09,1170.43
2021/10,1181.87
2021/11,1183.37
2021/12,1183.78
2022/01,1195.3
2022/02,1197.75
2022/03,1221.27
2022/04,1235.09
2022/05,1268.38
2022/06,1280.82
2022/07,1307.45
2022/08,1320.35
2022/09,1396.5
2022/10,1425.83
2022/11,1357.86
2022/12,1294.42
2023/01,1245.34
