AGRDE_FLAG_NM,BMI_IDEX_GRAD_NM,MBER_SEXDSTN_FLAG_CD,COAW_FLAG_NM,SPORTS_STEP_NM,FLAG_ACCTO_RECOMEND_MVM_RANK_CO,RECOMEND_MVM_NM
20대,정상,F,참가증,본운동,1,윗몸올리기
20대,정상,F,2등급,본운동,1,윗몸올리기
20대,정상,M,참가증,본운동,1,윗몸올리기
20대,정상,M,2등급,본운동,1,윗몸올리기
20대,비만전단계비만,F,참가증,본운동,1,윗몸올리기
20대,비만전단계비만,F,2등급,본운동,1,윗몸올리기
20대,비만전단계비만,M,참가증,본운동,1,윗몸올리기
20대,비만전단계비만,M,2등급,본운동,1,윗몸올리기
20대,정상,F,3등급,본운동,1,엎드려 버티기
20대,비만전단계비만,F,3등급,본운동,1,엎드려 버티기
20대,비만전단계비만,M,3등급,본운동,1,엎드려 버티기
20대,1단계비만,F,참가증,본운동,1,엎드려 버티기
20대,1단계비만,F,2등급,본운동,1,엎드려 버티기
20대,1단계비만,F,3등급,본운동,1,엎드려 버티기
20대,1단계비만,M,참가증,본운동,1,엎드려 버티기
20대,1단계비만,M,2등급,본운동,1,엎드려 버티기
30대,정상,F,참가증,본운동,1,엎드려 버티기
30대,정상,F,2등급,본운동,1,엎드려 버티기
30대,정상,F,3등급,본운동,1,엎드려 버티기
30대,정상,M,참가증,본운동,1,엎드려 버티기
30대,정상,M,2등급,본운동,1,엎드려 버티기
30대,정상,M,3등급,본운동,1,엎드려 버티기
30대,비만전단계비만,F,참가증,본운동,1,엎드려 버티기
30대,비만전단계비만,F,2등급,본운동,1,엎드려 버티기
30대,비만전단계비만,F,3등급,본운동,1,엎드려 버티기
30대,비만전단계비만,M,참가증,본운동,1,엎드려 버티기
30대,비만전단계비만,M,2등급,본운동,1,엎드려 버티기
30대,비만전단계비만,M,3등급,본운동,1,엎드려 버티기
30대,1단계비만,F,참가증,본운동,1,엎드려 버티기
30대,1단계비만,F,2등급,본운동,1,엎드려 버티기
30대,1단계비만,F,3등급,본운동,1,엎드려 버티기
30대,1단계비만,M,참가증,본운동,1,엎드려 버티기
30대,1단계비만,M,2등급,본운동,1,엎드려 버티기
30대,1단계비만,M,3등급,본운동,1,엎드려 버티기
20대,저체중,M,3등급,본운동,1,앉았다 일어서기
20대,정상,F,1등급,본운동,1,버피운동
20대,정상,M,1등급,본운동,1,버피운동
20대,저체중,F,1등급,본운동,1,버피운동
20대,저체중,M,1등급,본운동,1,버피운동
20대,비만전단계비만,F,1등급,본운동,1,버피운동
20대,비만전단계비만,M,1등급,본운동,1,버피운동
20대,1단계비만,F,1등급,본운동,1,버피운동
20대,1단계비만,M,1등급,본운동,1,버피운동
20대,3단계비만,F,1등급,본운동,1,버피운동
20대,3단계비만,M,1등급,본운동,1,버피운동
30대,정상,F,1등급,본운동,1,버피운동
30대,정상,M,1등급,본운동,1,버피운동
30대,비만전단계비만,F,1등급,본운동,1,버피운동
30대,비만전단계비만,M,1등급,본운동,1,버피운동
30대,1단계비만,F,1등급,본운동,1,버피운동
30대,1단계비만,M,1등급,본운동,1,버피운동
30대,3단계비만,F,1등급,본운동,1,버피운동
30대,3단계비만,M,1등급,본운동,1,버피운동
20대,3단계비만,F,2등급,본운동,1,계단 뛰어 오르기
20대,정상,M,3등급,본운동,1,달리기
20대,1단계비만,M,3등급,본운동,1,달리기
20대,2단계비만,F,참가증,본운동,1,달리기
20대,2단계비만,F,1등급,본운동,1,달리기
20대,2단계비만,F,2등급,본운동,1,달리기
20대,2단계비만,F,3등급,본운동,1,달리기
20대,2단계비만,M,참가증,본운동,1,달리기
20대,2단계비만,M,1등급,본운동,1,달리기
20대,2단계비만,M,2등급,본운동,1,달리기
20대,2단계비만,M,3등급,본운동,1,달리기
20대,3단계비만,F,3등급,본운동,1,달리기
20대,3단계비만,M,3등급,본운동,1,달리기
30대,2단계비만,F,참가증,본운동,1,달리기
30대,2단계비만,F,1등급,본운동,1,달리기
30대,2단계비만,F,2등급,본운동,1,달리기
30대,2단계비만,F,3등급,본운동,1,달리기
30대,2단계비만,M,참가증,본운동,1,달리기
30대,2단계비만,M,1등급,본운동,1,달리기
30대,2단계비만,M,2등급,본운동,1,달리기
30대,2단계비만,M,3등급,본운동,1,달리기
20대,3단계비만,M,2등급,본운동,1,턱걸이
20대,저체중,F,참가증,본운동,1,윗몸말아올리기
20대,저체중,M,참가증,본운동,1,윗몸말아올리기
30대,저체중,F,참가증,본운동,1,윗몸말아올리기
30대,저체중,M,참가증,본운동,1,윗몸말아올리기
20대,저체중,F,2등급,본운동,1,잔발치기
20대,저체중,F,3등급,본운동,1,잔발치기
20대,저체중,M,2등급,본운동,1,잔발치기
30대,저체중,F,1등급,본운동,1,잔발치기
30대,저체중,F,2등급,본운동,1,잔발치기
30대,저체중,F,3등급,본운동,1,잔발치기
30대,저체중,M,1등급,본운동,1,잔발치기
30대,저체중,M,2등급,본운동,1,잔발치기
30대,저체중,M,3등급,본운동,1,잔발치기
20대,3단계비만,M,참가증,본운동,1,몸통 옆으로 굽히기
30대,3단계비만,M,참가증,본운동,1,몸통 옆으로 굽히기
30대,3단계비만,M,3등급,본운동,1,몸통 옆으로 굽히기
30대,3단계비만,F,2등급,본운동,1,누워서 팔 밀기
30대,3단계비만,M,2등급,본운동,1,누워서 팔 밀기
